Mini Fabrica,Codigo Item,Descricao Item,Tipo Unidade,Codigo Cor,Descricao Cor,Tam,Deve (Abast),Saldo em Casa,Origem do Saldo
Mini Fabrica - 30,92871,MALHA ADTERM MA 140P CONFORFLEX 650C,,15745,PRETO 01,,-3.203,0.00000,nacional
Mini Fabrica - 30,92871,MALHA ADTERM MA 140P CONFORFLEX 650C,,23654,CRU 20,,-3.401,0.00000,nacional
Mini Fabrica - 30,97488,PANO COURACA P/ REFORCO TX 007/B,,3,PRETO,,-35.226,0.00000,nacional
Mini Fabrica - 30,183768,NAPA GARDA PU 1.0 + SARJA 7030/40 0.40,,35324,BRANCO OFF 526/CRU 20,,-97.751,0.00000,nacional
Mini Fabrica - 30,184004,NAPA GARDA PU 1.0 (V P/V 24/25)+POLINYLON 11HML 2L+FORRO MILANO,,101878,CHOCOLATE 1271/PRETO 01/PRETO 01,,-14.392,0.00000,nacional
Mini Fabrica - 30,184004,NAPA GARDA PU 1.0 (V P/V 24/25)+POLINYLON 11HML 2L+FORRO MILANO,,108445,OLIVE 1469/BRANCO 15/NATURAL,,-0.316,0.00000,nacional
Mini Fabrica - 30,195460,NAPA TRAME GRECIA PU 0.9 (B P/V 24/25)+BASE FLEX,,101646,CHOCOLATE 1271/PRETO,,-9.39,0.00000,nacional
Mini Fabrica - 30,196437,NAPA ONCA GRECIA PU 0.9 (B P/V 24/25)+SARJA 7030/50,,96662,MULTI CAMEL 1165/PRETO 01,,-5.745,0.00000,nacional
Mini Fabrica - 30,197406,NAPA ONCA GRECIA PU 0.9 (B P/V 24/25)+VELVET,,96673,MULTI CAMEL 1165/PRETO,,-15.673,0.00000,nacional
Mini Fabrica - 30,200353,NAPA TRESSE TORONTO PU 0.9 (B P/V 25/26),,35312,BRANCO OFF 526,,-2.874,0.00000,nacional
Mini Fabrica - 30,200476,NAPA TRESSE TORONTO PU 0.9 (B,,101602,CHOCOLATE,,-2.983,0.00000,nacional
Mini Fabrica - 30,201811,NAPA COW PRINT PU 0.9 (B P/V 25/26)+VELVET,,108776,BRANCO OFF 526-MULTI CAMEL 1165/CREME 516,,-0.235,0.00000,nacional
Mini Fabrica - 34,70730,CAMURCAO PU 1.2 (M O/I 2016)+VELVET 0.50,,15787,PRETO 01/PRETO,,-0.9,0.00000,nacional
Mini Fabrica - 34,70730,CAMURCAO PU 1.2 (M O/I 2016)+VELVET 0.50,,36126,BRANCO OFF 526/CREME 516,,-2.794,0.00000,nacional
Mini Fabrica - 34,70892,TECIDO VELVET (M O/I 15) + MICROPONTO,,19161,BRANCO 15,,-2.503,0.00000,nacional
Mini Fabrica - 34,97488,PANO COURACA P/ REFORCO TX 007/B,,1,BRANCO,,-18.933,0.00000,nacional
Mini Fabrica - 34,144069,"NYLON SLEEK(ACT O/I 2022)+COLA+ESPUMA 1,5MM D26+FORRO WAVE",,53728,ROSA 671/BRANCO 15/CREME 516,,-0.148,0.00000,nacional
Mini Fabrica - 34,144137,FILME CATALUNA 0.3MM NEW(ACT O/I22),,15745,PRETO 01,,-0.914,0.00000,nacional
Mini Fabrica - 34,144137,FILME CATALUNA 0.3MM NEW(ACT O/I22),,93244,BRANCO OFF 1132,,-0.046,0.00000,nacional
Mini Fabrica - 34,145601,NYLON KANSAS(ACT O/I22),,15745,PRETO 01,,-6.335,0.00000,nacional
Mini Fabrica - 34,152117,NAPA FLOTER RUSTICO NEO 1.4(MLK O/I 17)+FILME TACK 40GR,,103072,COBALTO 1319,,-1.64,0.00000,nacional
Mini Fabrica - 34,166815,GASPEA LOC VANILA(ACT 0/I 24) L.4842.101,PAR,39218,PRETO 01- PRETO 01,2,-155.0,0.00000,nacional
Mini Fabrica - 34,166815,GASPEA LOC VANILA(ACT 0/I 24) L.4842.101,PAR,39218,PRETO 01- PRETO 01,3,-127.0,0.00000,nacional
Mini Fabrica - 34,166815,GASPEA LOC VANILA(ACT 0/I 24) L.4842.101,PAR,95048,BRANCO OFF 1132-BRANCO OFF 1132,1,-65.0,0.00000,nacional
Mini Fabrica - 34,166815,GASPEA LOC VANILA(ACT 0/I 24) L.4842.101,PAR,95048,BRANCO OFF 1132-BRANCO OFF 1132,2,-104.0,0.00000,nacional
Mini Fabrica - 34,166815,GASPEA LOC VANILA(ACT 0/I 24) L.4842.101,PAR,95048,BRANCO OFF 1132-BRANCO OFF 1132,3,-39.0,0.00000,nacional
Mini Fabrica - 34,166815,GASPEA LOC VANILA(ACT 0/I 24) L.4842.101,PAR,98069,GRAFITE 1223-VIOLETA 1221,1,-72.0,0.00000,nacional
Mini Fabrica - 34,166815,GASPEA LOC VANILA(ACT 0/I 24) L.4842.101,PAR,98069,GRAFITE 1223-VIOLETA 1221,2,-140.0,0.00000,nacional
Mini Fabrica - 34,166815,GASPEA LOC VANILA(ACT 0/I 24) L.4842.101,PAR,98069,GRAFITE 1223-VIOLETA 1221,3,-59.0,0.00000,nacional
Mini Fabrica - 34,166815,GASPEA LOC VANILA(ACT 0/I 24) L.4842.101,PAR,98069,GRAFITE 1223-VIOLETA 1221,4,-12.0,0.00000,nacional
Mini Fabrica - 34,172305,GASPEA LOC BELGA(ACT 0/I 24) L.4914.220,PAR,15745,PRETO 01,2,-61.0,0.00000,nacional
Mini Fabrica - 34,188721,"TECIDO MARAGOGI(ACT 0/I 25)+ ESPUMA D23 2,5MM + TECIDO MEIA MALHA 100GR",,32908,PRETO 01/CINZA/PRETO 01,,-45.546,0.00000,nacional
Mini Fabrica - 34,188721,"TECIDO MARAGOGI(ACT 0/I 25)+ ESPUMA D23 2,5MM + TECIDO MEIA MALHA 100GR",,93368,MARINHO 1128/CINZA/PRETO 01,,-2.332,0.00000,nacional
Mini Fabrica - 34,193740,GASPEA+LINGUETA LOC SORELLE(ACT O/I 25)L.4858.101,PAR,106044,ROSA ANTIGO 1329-PINK 1332-CREME 1318,3,-152.0,0.00000,nacional
Mini Fabrica - 34,193740,GASPEA+LINGUETA LOC SORELLE(ACT O/I 25)L.4858.101,PAR,106045,BRANCO 99- ROSA ANTIGO 1329- CINZA CLARO 1322,2,-162.0,0.00000,nacional
Mini Fabrica - 34,193740,GASPEA+LINGUETA LOC SORELLE(ACT O/I 25)L.4858.101,PAR,106045,BRANCO 99- ROSA ANTIGO 1329- CINZA CLARO 1322,4,-72.0,0.00000,nacional
Mini Fabrica - 34,202067,TECIDO SUBLIME 160GR+ ESP D26 3MM+ JERSEY,,16143,PRETO 01/PRETO 01/PRETO 01,,-162.154,0.00000,nacional
Mini Fabrica - 34,202067,TECIDO SUBLIME 160GR+ ESP D26 3MM+ JERSEY,,93484,BRANCO OFF 1132/BRANCO 15/BRANCO 15,,-12.978,0.00000,nacional
