Mini Fabrica;Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Deve (Abast);Necessidade (Min 1m);Saldo em Casa;Coberto Estimado;Falta Estimada;Cobertura (%);Origem do Saldo
Mini Fabrica - 9;84629;VERNIZ PREMIUM PU 1.0 (M/MD O/I 2017)+ SARJA 7030/40 0.40;;29498;BEGE 435/CRU 20;;-0,711;1,0;13,4;1,0;0,0;100,0;nacional
Mini Fabrica - 9;94157;NAPA TURIM PU 1.0+VELVET;;15787;PRETO 01/PRETO;;-12,927;12,927;84,0;12,927;0,0;100,0;nacional
Mini Fabrica - 9;94157;NAPA TURIM PU 1.0+VELVET;;95701;CAMEL 1165/CREME 516;;-20,404;20,404;16,7;16,7;3,7040000000000006;81,84669672613212;nacional
Mini Fabrica - 9;94157;NAPA TURIM PU 1.0+VELVET;;101646;CHOCOLATE 1271/PRETO;;-11,552;11,552;114,6;11,552;0,0;100,0;nacional
Mini Fabrica - 9;100051;PELICA PU 0.9+POLLINYLON/11HM2L+MILANO;;30894;BRANCO 99/BRANCO 15/CAMEL 408;;-17,662;17,662;39,1;17,662;0,0;100,0;nacional
Mini Fabrica - 9;100051;PELICA PU 0.9+POLLINYLON/11HM2L+MILANO;;55095;NUDE 658/BRANCO 15/CAMEL 408;;-32,178;32,178;18,7;18,7;13,477999999999998;58,114239542544595;nacional
Mini Fabrica - 9;100051;PELICA PU 0.9+POLLINYLON/11HM2L+MILANO;;95864;CAMEL 1165/BRANCO 15/CAMEL 408;;-27,97;27,97;0,0;0,0;27,97;0,0;nacional
Mini Fabrica - 9;111581;FORRO PELE STRECH P.U 0.7+ESPUMA 2MM D26+CACHARREL SOFT ANTI-MICROBIANO;;16143;PRETO 01/PRETO 01/PRETO 01;;-6,653;6,653;0,0;0,0;6,653;0,0;nacional
Mini Fabrica - 9;112008;NAPA PELE STRECH PU 1.0 (MD O/I 2019)+SARJA 7030/40;;29498;BEGE 435/CRU 20;;-1,356;1,356;30,0;1,356;0,0;100,0;nacional
Mini Fabrica - 9;112853;FORRO SOFT CONFORTO PU 0.7(MD P/V 18/19)+ESPUMA PU 6,5MM D.60+SPONLACE 30GR;;29497;BEGE 435/BRANCO 15;;-34,96;34,96;0,0;0,0;34,96;0,0;nacional
Mini Fabrica - 9;128939;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40;;18215;BRANCO 99/CRU 20;;-0,763;1,0;25,0;1,0;0,0;100,0;nacional
Mini Fabrica - 9;128939;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40;;35324;BRANCO OFF 526/CRU 20;;-96,234;96,234;71,8;71,8;24,433999999999997;74,60980526632999;nacional
