Mini Fabrica;Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Deve (Abast);Necessidade (Min 1m);Saldo em Casa;Coberto Estimado;Falta Estimada;Cobertura (%);Origem do Saldo
Mini Fabrica - 20;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;105827;LILAS 1436;;-1,8;1,8;24,0;1,8;0,0;100,0;nacional
Mini Fabrica - 20;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;107613;TERRACOTA;;-6,0;6,0;26,0;6,0;0,0;100,0;nacional
Mini Fabrica - 20;76853;METAL GLAMOUR PU 0.9 (V P/V 16/17);;23146;OURO ROSADO;;-7,0;7,0;626,0;7,0;0,0;100,0;substituto
Mini Fabrica - 24;73034;NAPA TURIM PU 1.0 (B P/V 15/16)+BAS;;96142;CAMEL 1165/BIS;;-19,872;19,872;58,5;19,872;0,0;100,0;nacional
Mini Fabrica - 26;56577;FORRO MILANO PU 0.7(B O/I 2014);;35312;BRANCO OFF;;-3,3119;3,3119;26,0;3,3119;0,0;100,0;nacional
Mini Fabrica - 26;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;15758;PRETO 01/PRET;;-100,6383;100,6383;392,8;100,6383;0,0;100,0;nacional
Mini Fabrica - 26;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;35324;BRANCO OFF;;-3,864;3,864;94,3;3,864;0,0;100,0;nacional
Mini Fabrica - 26;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;95810;CAMEL 1165/CR;;-0,3851;1,0;143,5;1,0;0,0;100,0;nacional
Mini Fabrica - 26;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;101602;CHOCOLATE;;-12,2368;12,2368;30,2;12,2368;0,0;100,0;nacional
Mini Fabrica - 26;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;105897;OSTRA 1431/C;;-6,6008;6,6008;47,8;6,6008;0,0;100,0;nacional
